Agent,16,17,18,19,15,12,4,22,23,24,25,2,20,21
2021-12-20,X,12:00-23:00,6:00-17:00,12:00-23:00,12:00-23:00,6:00-17:00,X,X,X,X,X,07:00-18:00,X,X
2021-12-21,X,12:00-23:00,6:00-17:00,12:00-23:00,12:00-23:00,X,X,X,X,X,X,11:00-22:00,X,X
2021-12-22,X,X,6:00-17:00,X,12:00-23:00,X,06:00-17:00,X,X,X,X,X,07:00-18:00,11:00-22:00
2021-12-23,13:00-24:00,X,X,X,X,15:00-21:00,06:00-17:00,X,X,X,X,X,07:00-18:00,11:00-22:00
2021-12-24,10:00-20:00,X,X,X,X,09:00-13:00,06:00-16:00,10:00-20:00,X,X,X,X,X,09:00-19:00
2021-12-25,X,X,X,X,X,X,X,X,X,X,X,X,X,X
2021-12-26,BH,13:00-23:00,X,BH,X,07:00-17:00,BH,07:00-17:00,X,X,X,08:00-18:00,X,X
2021-12-27,X,12:00-23:00,BH,12:00-23:00,6:00-17:00,6:00-17:00,X,12:00-23:00,X,X,X,BH,07:00-18:00,X
2021-12-28,X,12:00-23:00,6:00-17:00,12:00-23:00,6:00-17:00,6:00-17:00,X,12:00-23:00,X,X,X,BH,07:00-18:00,X
2021-12-29,X,12:00-23:00,6:00-17:00,12:00-23:00,6:00-17:00,6:00-17:00,X,X,X,X,X,AL,X,10:00-21:00
2021-12-30,X,X,13:00-24:00,X,6:00-17:00,X,6:00-17:00,X,X,X,X,X,X,10:00-21:00
2021-12-31,6:00-17:00,X,X,X,X,X,08:00-19:00,X,X,X,X,X,X,09:00-20:00
2022-01-01,07:00-17:00,X,X,X,X,X,07:00-17:00,13:00-23:00,X,X,X,X,X,10:00-20:00
2022-01-02,6:00-17:00,X,X,X,X,13:00-24:00,6:00-17:00,13:00-24:00,X,X,X,X,07:00-18:00,X
2022-01-03,6:00-17:00,BH,X,6:00-17:00,X,13:00-24:00,X,12:00-23:00,X,X,X,07:00-18:00,BH,X
2022-01-04,X,AL,6:00-17:00,6:00-17:00,12:00-23:00,12:00-23:00,X,X,09:30-17:30,09:30-17:30,X,07:00-18:00,11:00-22:00,X
2022-01-05,X,AL,6:00-17:00,6:00-17:00,12:00-23:00,15:00-21:00,X,X,9:00-18:00,9:00-18:00,X,07:00-18:00,11:00-22:00,X
2022-01-06,X,AL,6:00-17:00,6:00-17:00,13:00-24:00,X,X,X,9:00-18:00,9:00-18:00,X,07:00-18:00,X,08:00-19:00
2022-01-07,X,X,6:00-17:00,X,13:00-24:00,X,6:00-17:00,X,9:00-18:00,9:00-18:00,X,X,X,08:00-19:00
2022-01-08,13:00-24:00,X,X,X,X,X,6:00-17:00,06:00-17:00,X,X,X,X,X,08:00-19:00
2022-01-09,13:00-24:00,X,X,X,X,6:00-17:00,6:00-17:00,06:00-17:00,X,X,X,X,X,08:00-19:00
2022-01-10,12:00-23:00,X,X,X,X,6:00-17:00,12:00-23:00,6:00-17:00,09:00-18:00,09:00-18:00,09:00-18:00,X,08:30-17:30,X
2022-01-11,12:00-23:00,12:00-23:00,X,6:00-17:00,X,6:00-17:00,X,6:00-17:00,09:00-18:00,09:00-18:00,09:00-18:00,10:00-21:00,08:30-17:30,X
2022-01-12,X,12:00-23:00,12:00-23:00,6:00-17:00,6:00-17:00,6:00-17:00,X,X,09:00-18:00,09:00-18:00,09:00-18:00,10:00-21:00,08:30-17:30,X
2022-01-13,X,13:00-24:00,13:00-24:00,6:00-17:00,6:00-17:00,X,X,X,09:00-18:00,09:00-18:00,09:00-18:00,11:00-22:00,08:30-17:30,X
2022-01-14,X,13:00-24:00,13:00-24:00,6:00-17:00,6:00-17:00,X,X,X,09:00-18:00,09:00-18:00,09:00-18:00,11:00-22:00,08:30-17:30,07:00-18:00
2022-01-15,X,X,13:00-24:00,X,6:00-17:00,X,13:00-24:00,X,X,X,X,X,X,07:00-18:00
2022-01-16,13:00-24:00,X,X,X,X,X,13:00-24:00,6:00-17:00,X,X,X,X,X,07:00-18:00
2022-01-17,12:00-23:00,X,X,X,X,12:00-23:00,12:00-23:00,6:00-17:00,09:00-18:00,09:00-18:00,09:00-18:00,08:30-17:30,X,07:00-18:00
2022-01-18,12:00-23:00,X,X,X,X,12:00-23:00,12:00-23:00,6:00-17:00,09:00-18:00,09:00-18:00,09:00-18:00,08:30-17:30,X,X
2022-01-19,12:00-23:00,6:00-17:00,X,6:00-17:00,X,12:00-23:00,X,6:00-17:00,09:00-18:00,09:00-18:00,09:00-18:00,08:30-17:30,10:00-21:00,X
2022-01-20,X,6:00-17:00,13:00-24:00,6:00-17:00,6:00-17:00,13:00-24:00,X,X,09:00-18:00,09:00-18:00,09:00-18:00,08:30-17:30,AL,X
2022-01-21,X,6:00-17:00,13:00-24:00,6:00-17:00,6:00-17:00,X,X,X,09:00-18:00,09:00-18:00,09:00-18:00,08:30-17:30,11:00-22:00,X
2022-01-22,X,6:00-17:00,13:00-24:00,6:00-17:00,6:00-17:00,X,X,X,X,X,X,X,11:00-22:00,07:00-18:00
2022-01-23,X,X,13:00-24:00,X,6:00-17:00,X,13:00-24:00,X,X,X,X,X,X,07:00-18:00
2022-01-24,6:00-17:00,X,X,X,X,X,12:00-23:00,12:00-23:00,6:00-17:00,06:00-17:00,X,X,X,07:00-18:00
2022-01-25,6:00-17:00,X,X,X,X,12:00-23:00,12:00-23:00,12:00-23:00,6:00-17:00,X,X,X,X,07:00-18:00
2022-01-26,6:00-17:00,X,X,X,X,12:00-23:00,12:00-23:00,12:00-23:00,6:00-17:00,X,6:00-17:00,07:00-18:00,X,X
2022-01-27,6:00-17:00,6:00-17:00,X,6:00-17:00,X,13:00-24:00,X,13:00-24:00,X,X,6:00-17:00,07:00-18:00,X,X
2022-01-28,X,6:00-17:00,6:00-17:00,6:00-17:00,13:00-24:00,13:00-24:00,X,X,X,X,6:00-17:00,07:00-18:00,11:00-22:00,X
2022-01-29,X,6:00-17:00,6:00-17:00,6:00-17:00,13:00-24:00,X,X,X,X,13:00-24:00,6:00-17:00,07:00-18:00,11:00-22:00,X
2022-01-30,X,6:00-17:00,6:00-17:00,6:00-17:00,13:00-24:00,X,X,X,X,13:00-24:00,X,X,11:00-22:00,07:00-18:00
2022-01-31,X,X,6:00-17:00,X,12:00-23:00,X,12:00-23:00,X,6:00-17:00,12:00-23:00,X,X,10:00-21:00,07:00-18:00
2022-02-01,6:00-17:00,X,X,X,X,X,12:00-23:00,12:00-23:00,6:00-17:00,12:00-23:00,X,X,X,07:00-18:00
2022-02-02,6:00-17:00,X,X,X,X,6:00-17:00,12:00-23:00,12:00-23:00,6:00-17:00,X,X,X,X,07:00-18:00
2022-02-03,6:00-17:00,X,X,X,X,6:00-17:00,12:00-23:00,13:00-24:00,6:00-17:00,X,6:00-17:00,07:00-18:00,X,X
2022-02-04,6:00-17:00,13:00-24:00,X,13:00-24:00,X,6:00-17:00,X,13:00-24:00,X,X,6:00-17:00,07:00-18:00,X,X
2022-02-05,X,13:00-24:00,6:00-17:00,13:00-24:00,6:00-17:00,6:00-17:00,X,X,X,X,6:00-17:00,07:00-18:00,11:00-22:00,X
2022-02-06,X,13:00-24:00,6:00-17:00,13:00-24:00,6:00-17:00,X,X,X,X,13:00-24:00,6:00-17:00,07:00-18:00,11:00-22:00,X
2022-02-07,X,12:00-23:00,6:00-17:00,12:00-23:00,6:00-17:00,X,X,X,X,12:00-23:00,X,X,11:00-22:00,07:00-18:00
2022-02-08,X,X,6:00-17:00,X,6:00-17:00,X,6:00-17:00,X,12:00-23:00,12:00-23:00,X,X,11:00-22:00,07:00-18:00
2022-02-09,12:00-23:00,X,X,X,X,X,6:00-17:00,6:00-17:00,12:00-23:00,12:00-23:00,X,X,X,07:00-18:00
2022-02-10,13:00-24:00,X,X,X,X,6:00-17:00,6:00-17:00,6:00-17:00,13:00-24:00,X,X,X,X,07:00-18:00
2022-02-11,13:00-24:00,X,X,X,X,6:00-17:00,6:00-17:00,6:00-17:00,13:00-24:00,X,13:00-24:00,07:00-18:00,X,X
2022-02-12,13:00-24:00,13:00-24:00,X,13:00-24:00,X,6:00-17:00,X,6:00-17:00,X,X,13:00-24:00,11:00-22:00,X,X
2022-02-13,X,13:00-24:00,6:00-17:00,13:00-24:00,6:00-17:00,6:00-17:00,X,X,X,X,13:00-24:00,11:00-22:00,07:00-18:00,X
2022-02-14,X,12:00-23:00,6:00-17:00,12:00-23:00,6:00-17:00,X,X,X,X,6:00-17:00,13:00-24:00,10:00-21:00,07:00-18:00,X
2022-02-15,X,12:00-23:00,6:00-17:00,12:00-23:00,6:00-17:00,X,X,X,X,6:00-17:00,X,X,07:00-18:00,10:00-21:00
2022-02-16,X,X,12:00-23:00,X,6:00-17:00,X,6:00-17:00,X,12:00-23:00,6:00-17:00,X,X,07:00-18:00,10:00-21:00
2022-02-17,13:00-24:00,X,X,X,X,X,6:00-17:00,6:00-17:00,13:00-24:00,6:00-17:00,X,X,X,11:00-22:00
2022-02-18,13:00-24:00,X,X,X,X,13:00-24:00,6:00-17:00,6:00-17:00,13:00-24:00,X,X,X,X,11:00-22:00
2022-02-19,13:00-24:00,X,X,X,X,13:00-24:00,6:00-17:00,6:00-17:00,13:00-24:00,X,13:00-24:00,11:00-22:00,X,X
2022-02-20,13:00-24:00,13:00-24:00,X,13:00-24:00,X,13:00-24:00,X,6:00-17:00,X,X,13:00-24:00,11:00-22:00,X,X
2022-02-21,X,12:00-23:00,6:00-17:00,12:00-23:00,6:00-17:00,12:00-23:00,X,X,6:00-17:00,X,12:00-23:00,10:00-21:00,07:00-18:00,X
2022-02-22,X,12:00-23:00,6:00-17:00,12:00-23:00,6:00-17:00,X,X,X,6:00-17:00,6:00-17:00,12:00-23:00,10:00-21:00,07:00-18:00,X
2022-02-23,X,12:00-23:00,6:00-17:00,12:00-23:00,12:00-23:00,X,X,X,6:00-17:00,6:00-17:00,X,X,07:00-18:00,10:00-21:00
2022-02-24,X,X,6:00-17:00,X,13:00-24:00,X,13:00-24:00,X,6:00-17:00,6:00-17:00,X,X,07:00-18:00,11:00-22:00
2022-02-25,6:00-17:00,X,X,X,X,X,13:00-24:00,13:00-24:00,X,6:00-17:00,X,X,X,11:00-22:00
2022-02-26,6:00-17:00,X,X,X,X,6:00-17:00,13:00-24:00,13:00-24:00,X,X,X,X,X,11:00-22:00
2022-02-27,6:00-17:00,X,X,X,X,6:00-17:00,13:00-24:00,13:00-24:00,X,X,6:00-17:00,07:00-18:00,X,X
